seed,split,r_blind,r_learned,r_ue,delivery,forwards
0,in-dist,1.0,0.6379527878409001,0.3821886857220306,0.533106960950764,86
0,in-dist,1.0,0.7141390932886257,0.377772556105265,0.5042444821731749,95
0,in-dist,1.0,0.7731979033305362,0.4345512627000433,0.4906303236797274,93
0,ood,1.0,0.9553538711897925,0.059781828715368655,0.17884130982367757,188
0,ood,1.0,0.977756296578383,0.05824752182249848,0.18571428571428572,190
0,ood,1.0,0.9627929307715578,0.05841079896653048,0.1551433389544688,192
1,in-dist,1.0,0.727897331580889,0.3638698988523124,0.5264054514480409,100
1,in-dist,1.0,0.7059615359464916,0.38559711752556,0.5328836424957841,94
1,in-dist,1.0,0.7358605829975938,0.439311099558532,0.5417376490630323,92
1,ood,1.0,0.9193514367075941,0.043769089458895766,0.2333614153327717,195
1,ood,1.0,0.9361533257606153,0.048873168100356114,0.2358887952822241,203
1,ood,1.0,0.9548698717496191,0.046143674121214,0.23817567567567569,195
2,in-dist,1.0,0.8056770179656304,0.43656074172055104,0.4387755102040816,98
2,in-dist,1.0,0.7617581368402259,0.3978597559787285,0.45805369127516776,93
2,in-dist,1.0,0.7125805188640914,0.41693898679187535,0.5059021922428331,92
2,ood,1.0,0.9144172163265574,0.04423771753095237,0.23109243697478993,182
2,ood,1.0,0.8160891681817883,0.0428938124828566,0.2514767932489452,186
2,ood,1.0,0.8122227992562416,0.04870148298427067,0.2715842414082146,182
