model,lam,test_shell,diameter,seed,params,delivery,stretch_med,stretch_p90,pairs,machine
Heat,0.0,starlink_mini264,28,0,3268,0.6338383838383839,1.029760665753191,1.1069630757359599,396,Linux-x86_64-sol1
Heat,1.0,starlink_mini264,28,0,3268,0.6338383838383839,1.029760665753191,1.11016887916597,396,Linux-x86_64-sol1
QW,0.0,starlink_mini264,28,0,3268,0.8232323232323232,1.0378396618931407,1.1300847683620807,396,Linux-x86_64-sol1
QW,1.0,starlink_mini264,28,0,3268,0.6919191919191919,1.028396477495611,1.1136571615802782,396,Linux-x86_64-sol1
Heat,0.0,starlink_mini264,28,1,3268,0.6035353535353535,1.0355893521159074,1.1267278605640305,396,Linux-x86_64-sol1
Heat,1.0,starlink_mini264,28,1,3268,0.601010101010101,1.03591868007823,1.125558721865039,396,Linux-x86_64-sol1
QW,0.0,starlink_mini264,28,1,3268,0.8888888888888888,1.0461403554560804,1.1596802901480932,396,Linux-x86_64-sol1
QW,1.0,starlink_mini264,28,1,3268,0.6439393939393939,1.0410578793948808,1.126877154788564,396,Linux-x86_64-sol1
Heat,0.0,starlink_mini264,28,2,3268,0.6287878787878788,1.0396796627818374,1.135397943707056,396,Linux-x86_64-sol1
Heat,1.0,starlink_mini264,28,2,3268,0.6287878787878788,1.0387126944613454,1.13798358092032,396,Linux-x86_64-sol1
QW,0.0,starlink_mini264,28,2,3268,0.6717171717171717,1.0480558553501935,1.1585657745255618,396,Linux-x86_64-sol1
QW,1.0,starlink_mini264,28,2,3268,0.6717171717171717,1.0457870078317346,1.1553490910051876,396,Linux-x86_64-sol1
