seed,split,r_blind,r_gnn_sp,r_gnn_mp,r_ue,machine,recovered_sp,recovered_mp
0,in-dist,1.0,0.4103729105244163,0.39807524890357154,0.38150442150004715,Linux-x86_64-sol1,0.953325,0.973208
0,in-dist,1.0,0.4701952863154106,0.4117700962751738,0.37670909246060547,Linux-x86_64-sol1,0.850012,0.943749
0,in-dist,1.0,0.4653602673329938,0.44874534556419227,0.433509842326418,Linux-x86_64-sol1,0.943776,0.973105
0,ood,1.0,0.3836310296653255,0.11175173813868562,0.05964233944443817,Linux-x86_64-sol1,0.655462,0.944586
0,ood,1.0,0.2819807483277622,0.11043109644999728,0.058230070079380636,Linux-x86_64-sol1,0.762415,0.944571
0,ood,1.0,0.31147760545867836,0.09539642831937499,0.058230831632290155,Linux-x86_64-sol1,0.731095,0.960536
1,in-dist,1.0,0.47438632806708037,0.3856249685192651,0.3630992386678193,Linux-x86_64-sol1,0.825268,0.964632
1,in-dist,1.0,0.4221527915984883,0.3928171379528786,0.3846596648748659,Linux-x86_64-sol1,0.939069,0.986743
1,in-dist,1.0,0.5022497741110313,0.45020356904830844,0.4387954314791011,Linux-x86_64-sol1,0.886932,0.979672
1,ood,1.0,0.5229069025357691,0.11809766517668817,0.043561460379492635,Linux-x86_64-sol1,0.498823,0.922069
1,ood,1.0,0.48908804095829655,0.1369369849082873,0.048774235071043295,Linux-x86_64-sol1,0.537109,0.907317
1,ood,1.0,0.4887859616168038,0.14005975352082733,0.046072669382497565,Linux-x86_64-sol1,0.535905,0.901474
2,in-dist,1.0,0.47442660697190214,0.44784424812860696,0.43576212577745316,Linux-x86_64-sol1,0.931475,0.978587
2,in-dist,1.0,0.4583168130776202,0.40597590182484966,0.3969201275674233,Linux-x86_64-sol1,0.898195,0.984984
2,in-dist,1.0,0.5225417267564239,0.44288738935728755,0.4160030512384992,Linux-x86_64-sol1,0.81757,0.953965
2,ood,1.0,0.718766713852943,0.14138938987393365,0.04405859482636302,Linux-x86_64-sol1,0.294195,0.898183
2,ood,1.0,0.5694328017930547,0.1184264577835944,0.04271197921945174,Linux-x86_64-sol1,0.449778,0.920907
2,ood,1.0,0.5394194671985366,0.1320433074739394,0.048637571051540575,Linux-x86_64-sol1,0.484127,0.91233
