run_set,shell,tau,one,seed,recovered,unit_of_analysis
r2_7_eps_sweep.csv,w264_i53,0.2,1,0,0.899,vo-x-seed(-x-lat-cat)
r2_7_eps_sweep.csv,w264_i53,0.2,1,0,0.8548,vo-x-seed(-x-lat-cat)
r2_7_eps_sweep.csv,w264_i53,0.2,1,1,0.86,vo-x-seed(-x-lat-cat)
r2_7_eps_sweep.csv,w264_i53,0.2,1,1,0.8919,vo-x-seed(-x-lat-cat)
r2_7_eps_sweep.csv,w264_i53,0.2,1,2,0.8802,vo-x-seed(-x-lat-cat)
r2_7_eps_sweep.csv,w264_i53,0.2,1,2,0.8783,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,0,0.9115,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,1,0.9135,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,2,0.9023,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,3,0.8996,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,4,0.9049,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,5,0.8969,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,6,0.9114,vo-x-seed(-x-lat-cat)
r2_7_fair_tuned_wide.csv,w264_i53,0.2,1,7,0.8665,vo-x-seed(-x-lat-cat)
r1_1_tau_sweep.csv,w264_i53,0.2,1,0,0.9115,vo-x-seed(-x-lat-cat)
r1_1_tau_sweep.csv,w264_i53,0.2,1,1,0.9135,vo-x-seed(-x-lat-cat)
r1_1_tau_sweep.csv,w264_i53,0.2,1,2,0.9023,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,0,0.9553828792322774,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,0,0.9584908040171474,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,0,0.9472172548420709,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,0,0.9536305800046994,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,1,0.9198462611104996,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,1,0.9323404349332303,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,1,0.9156318894442967,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,1,0.9254686566249122,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,2,0.9007035358326737,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,2,0.9166570921965264,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,2,0.9024566847721167,vo-x-seed(-x-lat-cat)
p5_router.csv,w264_i53,0.2,1,2,0.8739502395628065,vo-x-seed(-x-lat-cat)
