shell,n_sat,inc,pairs,seed,slot,recovered_gnn,blind_ttt,ue_ttt,poa,rel_gnn,unit_of_analysis,recovered_ecmp_0.0,rel_ecmp_0.0,recovered_ecmp_0.02,rel_ecmp_0.02,recovered_ecmp_0.05,rel_ecmp_0.05,recovered_ecmp_0.1,rel_ecmp_0.1,recovered_ecmp_0.2,rel_ecmp_0.2,recovered_ecmp_0.35,rel_ecmp_0.35,recovered_ecmp_0.5,rel_ecmp_0.5,machine
w132_i53,132,0.9250245035569946,600,0,1,0.9633,73.4743,35.336,1.036867,0.499966,vo-x-seed-x-khe,0.0,1.0,0.4046,0.789971,0.5841,0.696793,0.6713,0.651574,0.6598,0.657521,0.6414,0.667061,0.6414,0.667061,Linux-x86_64-sol1
w132_i53,132,0.9250245035569946,600,0,2,0.9345,68.1177,35.7318,1.037829,0.555708,vo-x-seed-x-khe,0.0,1.0,0.1756,0.916529,0.4387,0.791422,0.5129,0.756162,0.4226,0.799094,0.4232,0.798785,0.4232,0.798785,Linux-x86_64-sol1
w132_i53,132,0.9250245035569946,600,1,1,0.9866,73.0339,34.8051,1.03452,0.483599,vo-x-seed-x-khe,0.0,1.0,0.349,0.81733,0.5745,0.699285,0.7165,0.624957,0.7095,0.628641,0.7027,0.632159,0.7027,0.632159,Linux-x86_64-sol1
w132_i53,132,0.9250245035569946,600,1,2,0.9608,68.645,35.6155,1.044761,0.537719,vo-x-seed-x-khe,0.0,1.0,0.1023,0.950774,0.4123,0.801606,0.5763,0.722688,0.621,0.701219,0.6206,0.701371,0.6206,0.701371,Linux-x86_64-sol1
w132_i53,132,0.9250245035569946,600,2,1,0.9792,69.8009,33.5984,1.032763,0.492118,vo-x-seed-x-khe,-0.0,1.0,0.4012,0.791937,0.6214,0.677687,0.7525,0.609736,0.7171,0.628048,0.7112,0.631129,0.7112,0.631129,Linux-x86_64-sol1
w132_i53,132,0.9250245035569946,600,2,2,0.9733,66.7495,33.813,1.030499,0.519717,vo-x-seed-x-khe,0.0,1.0,0.1715,0.915358,0.4744,0.765926,0.6433,0.682552,0.6488,0.679858,0.6484,0.680034,0.6484,0.680034,Linux-x86_64-sol1
w198_i53,198,0.9250245035569946,900,0,1,0.8559,363.6707,74.2828,1.03324,0.318941,vo-x-seed-x-khe,0.0,1.0,0.4951,0.606045,0.8715,0.306481,0.9337,0.257039,0.9655,0.231702,0.9656,0.231637,0.9656,0.231637,Linux-x86_64-sol1
w198_i53,198,0.9250245035569946,900,0,2,0.892,381.7473,74.7148,1.03466,0.282565,vo-x-seed-x-khe,-0.0,1.0,0.4474,0.640146,0.8049,0.352669,0.9181,0.2616,0.9746,0.216117,0.9751,0.215746,0.9751,0.215746,Linux-x86_64-sol1
w198_i53,198,0.9250245035569946,900,1,1,0.9039,539.964,73.836,1.033845,0.219705,vo-x-seed-x-khe,0.0,1.0,0.4299,0.628919,0.8061,0.304126,0.9096,0.214766,0.97,0.162649,0.9701,0.162565,0.9701,0.162565,Linux-x86_64-sol1
w198_i53,198,0.9250245035569946,900,1,2,0.9175,406.8366,72.9553,1.03408,0.247023,vo-x-seed-x-khe,0.0,1.0,0.4548,0.626794,0.7704,0.36776,0.8674,0.288146,0.9615,0.210895,0.962,0.210549,0.962,0.210549,Linux-x86_64-sol1
