shell,seed,unit_of_analysis,recovered_gnn_tau0.05,recovered_gnn_tau0.1,recovered_gnn_tau0.2,recovered_gnn_tau0.35,recovered_gnn_tau0.5,recovered_gnn_tau1.0,recovered_gnn_tau2.0,recovered_ecmp_eps0.05,recovered_ecmp_eps0.1,recovered_ecmp_eps0.2,recovered_ecmp_eps0.35,recovered_ecmp_eps0.5,machine
w132_i53,0,vo-x-seed,0.9221,0.9603,0.9604,0.93,0.904,0.8542,0.8193,0.6065,0.7402,0.7353,0.734,0.734,Linux-x86_64-sol1
w132_i53,1,vo-x-seed,0.9347,0.9587,0.9476,0.8982,0.8499,0.7529,0.6877,0.4773,0.6286,0.5977,0.59,0.59,Linux-x86_64-sol1
w132_i53,2,vo-x-seed,0.9285,0.967,0.9558,0.9053,0.8585,0.767,0.7064,0.4845,0.6355,0.6355,0.631,0.631,Linux-x86_64-sol1
w198_i53,0,vo-x-seed,0.626,0.7488,0.89,0.9551,0.9721,0.982,0.9837,0.8647,0.9464,0.9772,0.9771,0.9771,Linux-x86_64-sol1
w198_i53,1,vo-x-seed,0.716,0.8313,0.9381,0.9774,0.9867,0.9917,0.9923,0.8991,0.9619,0.9864,0.9864,0.9864,Linux-x86_64-sol1
w198_i53,2,vo-x-seed,0.5497,0.7242,0.8931,0.9607,0.9767,0.9849,0.9857,0.8599,0.9274,0.9761,0.976,0.976,Linux-x86_64-sol1
w264_i53,0,vo-x-seed,0.6345,0.785,0.9115,0.9611,0.9729,0.9785,0.9792,0.8526,0.9211,0.9753,0.9753,0.9753,Linux-x86_64-sol1
w264_i53,1,vo-x-seed,0.6625,0.8012,0.9135,0.9556,0.9676,0.9767,0.9792,0.8433,0.9194,0.9796,0.9796,0.9796,Linux-x86_64-sol1
w264_i53,2,vo-x-seed,0.5925,0.7564,0.9023,0.9536,0.9662,0.9737,0.9749,0.8675,0.9011,0.9713,0.9713,0.9713,Linux-x86_64-sol1
w264_i70,0,vo-x-seed,0.7555,0.8356,0.9286,0.9708,0.9821,0.9884,0.989,0.5575,0.7825,0.9241,0.9649,0.9677,Linux-x86_64-sol1
w264_i70,1,vo-x-seed,0.7579,0.8274,0.9184,0.9667,0.9808,0.9897,0.9912,0.5848,0.8067,0.9334,0.9711,0.9733,Linux-x86_64-sol1
w264_i70,2,vo-x-seed,0.7674,0.851,0.9319,0.9729,0.9839,0.9896,0.9898,0.5754,0.7922,0.9208,0.9668,0.9696,Linux-x86_64-sol1
