shell,seed,unit_of_analysis,recovered_gnn_tau0.05,recovered_gnn_tau0.1,recovered_gnn_tau0.2,recovered_gnn_tau0.35,recovered_gnn_tau0.5,recovered_gnn_tau1.0,recovered_gnn_tau2.0,recovered_gnn_tau3.5,recovered_gnn_tau5.0,recovered_gnn_tau8.0,recovered_ecmp_eps0.05,recovered_ecmp_eps0.1,recovered_ecmp_eps0.2,recovered_ecmp_eps0.35,recovered_ecmp_eps0.5,recovered_ecmp_eps0.75,machine,best_tau,best_eps,gap_fair,cost_of_fixed_tau
w132_i53,0,vo-x-seed,0.9221,0.9603,0.9604,0.93,0.904,0.8542,0.8193,0.8023,0.7952,0.7889,0.6065,0.7402,0.7353,0.734,0.734,0.734,Linux-x86_64-sol1,0.1,0.1,0.2201,-0.0001
w132_i53,1,vo-x-seed,0.9347,0.9587,0.9476,0.8982,0.8499,0.7529,0.6877,0.6578,0.6457,0.635,0.4773,0.6286,0.5977,0.59,0.59,0.59,Linux-x86_64-sol1,0.1,0.1,0.3301,0.0111
w132_i53,2,vo-x-seed,0.9285,0.967,0.9558,0.9053,0.8585,0.767,0.7064,0.6788,0.6677,0.6579,0.4845,0.6355,0.6355,0.631,0.631,0.631,Linux-x86_64-sol1,0.1,0.1,0.3315,0.0112
w132_i53,3,vo-x-seed,0.976,0.9826,0.9533,0.8965,0.8446,0.7397,0.6693,0.6373,0.6243,0.613,0.4651,0.59,0.5751,0.5685,0.5685,0.5685,Linux-x86_64-sol1,0.1,0.1,0.3926,0.0293
w132_i53,4,vo-x-seed,0.9523,0.9781,0.9549,0.8969,0.8439,0.7421,0.6772,0.6485,0.637,0.6271,0.568,0.6533,0.5765,0.5682,0.5682,0.5682,Linux-x86_64-sol1,0.1,0.1,0.3248,0.0232
w132_i53,5,vo-x-seed,0.8826,0.9172,0.9422,0.9173,0.882,0.8072,0.7564,0.7329,0.7234,0.715,0.5861,0.6887,0.6853,0.6805,0.6805,0.6805,Linux-x86_64-sol1,0.1,0.1,0.2285,-0.025
w132_i53,6,vo-x-seed,0.9469,0.9768,0.9645,0.92,0.8773,0.7886,0.7272,0.6986,0.687,0.6768,0.5306,0.6766,0.6431,0.6403,0.6403,0.6403,Linux-x86_64-sol1,0.1,0.1,0.3002,0.0123
w132_i53,7,vo-x-seed,0.9727,0.9867,0.9655,0.9126,0.8649,0.7735,0.7132,0.6853,0.674,0.664,0.5503,0.6858,0.6469,0.6418,0.6418,0.6418,Linux-x86_64-sol1,0.1,0.1,0.3009,0.0212
w198_i53,0,vo-x-seed,0.626,0.7488,0.89,0.9551,0.9721,0.982,0.9837,0.9839,0.984,0.9839,0.8647,0.9464,0.9772,0.9771,0.9771,0.9771,Linux-x86_64-sol1,2.0,0.2,0.0065,0.0937
w198_i53,1,vo-x-seed,0.716,0.8313,0.9381,0.9774,0.9867,0.9917,0.9923,0.9923,0.9922,0.9922,0.8991,0.9619,0.9864,0.9864,0.9864,0.9864,Linux-x86_64-sol1,2.0,0.2,0.0059,0.0542
