shell,seed,slot,blind_ttt,ue_ttt,so_ttt,unit_of_analysis,recovered_cold_T2,recovered_warm_T1,recovered_warm_T2,recovered_ecmp0,recovered_ecmp05,recovered_ecmp20,recovered_gnn,machine
w132,0,1,73.4743,35.336,34.0796,shell-x-seed-x-slot,0.3241,0.9447,0.9092,0.0,0.5841,0.6598,0.9633,Linux-x86_64-sol1
w132,0,2,68.1177,35.7318,34.4293,shell-x-seed-x-slot,0.1927,0.8495,0.8604,0.0,0.4387,0.4226,0.9345,Linux-x86_64-sol1
w132,0,3,71.9525,36.0948,34.666,shell-x-seed-x-slot,0.4811,0.8267,0.8555,-0.0,0.363,0.4241,0.9441,Linux-x86_64-sol1
w132,1,1,73.0339,34.8051,33.6437,shell-x-seed-x-slot,0.772,0.8856,0.9151,0.0,0.5745,0.7095,0.9866,Linux-x86_64-sol1
w132,1,2,68.645,35.6155,34.0896,shell-x-seed-x-slot,0.6558,0.8715,0.9005,0.0,0.4123,0.621,0.9608,Linux-x86_64-sol1
w132,1,3,70.5628,35.2328,33.6996,shell-x-seed-x-slot,0.4917,0.7084,0.8593,-0.0,0.4125,0.6663,0.9674,Linux-x86_64-sol1
w132,2,1,69.8009,33.5984,32.5326,shell-x-seed-x-slot,-0.7562,0.879,0.8946,-0.0,0.6214,0.7171,0.9792,Linux-x86_64-sol1
w132,2,2,66.7495,33.813,32.8123,shell-x-seed-x-slot,0.5891,0.8481,0.8661,0.0,0.4744,0.6488,0.9733,Linux-x86_64-sol1
w132,2,3,57.0852,33.9828,32.9214,shell-x-seed-x-slot,-0.2756,0.5881,0.8093,-0.0,0.3367,0.5603,0.9633,Linux-x86_64-sol1
w264,0,1,2710.3885,114.24,113.4465,shell-x-seed-x-slot,0.2899,0.761,0.5282,-0.0,0.8429,0.9733,0.899,Linux-x86_64-sol1
w264,0,2,1684.3014,112.684,111.8134,shell-x-seed-x-slot,-1.4461,0.5793,0.4949,0.0,0.7511,0.9666,0.8548,Linux-x86_64-sol1
w264,0,3,1901.1578,113.5687,112.7357,shell-x-seed-x-slot,-0.0801,0.6198,0.7896,0.0,0.7652,0.9681,0.8825,Linux-x86_64-sol1
w264,1,1,2033.1014,115.236,114.7322,shell-x-seed-x-slot,-0.5252,0.8026,0.6671,-0.0,0.8082,0.9618,0.86,Linux-x86_64-sol1
w264,1,2,1730.0266,114.4586,113.7654,shell-x-seed-x-slot,-0.7632,0.7612,0.7897,-0.0,0.7774,0.9569,0.8919,Linux-x86_64-sol1
w264,1,3,1760.682,116.8301,116.0829,shell-x-seed-x-slot,-2.329,0.6266,0.5192,0.0,0.741,0.9518,0.863,Linux-x86_64-sol1
w264,2,1,2102.3682,109.7439,108.4388,shell-x-seed-x-slot,0.0488,0.7766,0.7271,-0.0,0.8265,0.9734,0.8802,Linux-x86_64-sol1
w264,2,2,1919.7383,109.3073,108.1893,shell-x-seed-x-slot,0.5038,0.8095,0.6896,-0.0,0.725,0.9726,0.8783,Linux-x86_64-sol1
w264,2,3,2031.8926,109.2212,108.0666,shell-x-seed-x-slot,0.4638,0.8472,0.7045,0.0,0.7564,0.9691,0.8991,Linux-x86_64-sol1
