shell,seed,drift,unit_of_analysis,recovered_react,recovered_proact,recovered_warmT2,recovered_ecmp0.05,recovered_ecmp0.2,recovered_ecmp0.35,recovered_ecmp0.5,best_eps_col,gap_proact
w132,0,0.0,vo-x-seed-x-troi,0.8912,0.8912,0.8459,0.6066,0.7001,0.6926,0.6926,recovered_ecmp0.2,0.1911
w132,0,0.3,vo-x-seed-x-troi,0.5536,0.8354,0.8721,0.6001,0.6317,0.622,0.622,recovered_ecmp0.2,0.2037
w132,0,0.6,vo-x-seed-x-troi,0.2154,0.8421,0.6375,0.435,0.5361,0.5238,0.5238,recovered_ecmp0.2,0.306
w132,0,1.0,vo-x-seed-x-troi,-0.3369,0.9089,0.2626,0.461,0.6777,0.6753,0.6753,recovered_ecmp0.2,0.2312
w132,0,1.5,vo-x-seed-x-troi,-0.9896,0.9599,-0.0025,0.3174,0.6139,0.6136,0.6136,recovered_ecmp0.2,0.346
w132,1,0.0,vo-x-seed-x-troi,0.9456,0.9456,0.9094,0.5839,0.7701,0.7709,0.7709,recovered_ecmp0.2,0.1755
w132,1,0.3,vo-x-seed-x-troi,0.7883,0.8433,0.7893,0.6339,0.7832,0.7786,0.7786,recovered_ecmp0.2,0.0601
w132,1,0.6,vo-x-seed-x-troi,0.3551,0.8231,0.7719,0.6475,0.7078,0.7014,0.7014,recovered_ecmp0.2,0.1153
w132,1,1.0,vo-x-seed-x-troi,-0.0514,0.9372,0.6911,0.5548,0.7459,0.7454,0.7454,recovered_ecmp0.2,0.1913
w132,1,1.5,vo-x-seed-x-troi,-1.0244,0.9636,-0.2235,0.5084,0.7997,0.7999,0.7999,recovered_ecmp0.2,0.1639
w132,2,0.0,vo-x-seed-x-troi,0.8373,0.8373,0.854,0.616,0.6893,0.6854,0.6854,recovered_ecmp0.2,0.148
w132,2,0.3,vo-x-seed-x-troi,0.8811,0.9081,0.8831,0.5271,0.6129,0.6064,0.6064,recovered_ecmp0.2,0.2952
w132,2,0.6,vo-x-seed-x-troi,0.6928,0.8399,0.8191,0.5303,0.5961,0.5923,0.5923,recovered_ecmp0.2,0.2438
w132,2,1.0,vo-x-seed-x-troi,0.3198,0.9441,0.6597,0.5903,0.8039,0.8018,0.8018,recovered_ecmp0.2,0.1402
w132,2,1.5,vo-x-seed-x-troi,-0.9235,0.9458,0.0584,0.4927,0.835,0.8359,0.8359,recovered_ecmp0.2,0.1108
w264,0,0.0,vo-x-seed-x-troi,0.8061,0.8061,0.7788,0.8672,0.977,0.9771,0.9771,recovered_ecmp0.2,-0.1709
w264,0,0.3,vo-x-seed-x-troi,0.7634,0.6797,0.6898,0.8541,0.9702,0.9702,0.9702,recovered_ecmp0.2,-0.2905
w264,0,0.6,vo-x-seed-x-troi,0.7742,0.7008,0.5989,0.8496,0.9774,0.9774,0.9774,recovered_ecmp0.2,-0.2766
w264,0,1.0,vo-x-seed-x-troi,0.8526,0.7802,0.6689,0.8163,0.9864,0.9865,0.9865,recovered_ecmp0.2,-0.2062
w264,0,1.5,vo-x-seed-x-troi,0.7386,0.7358,0.7593,0.7922,0.9838,0.9838,0.9838,recovered_ecmp0.2,-0.248
w264,1,0.0,vo-x-seed-x-troi,0.4963,0.4963,0.5442,0.8517,0.9716,0.9716,0.9716,recovered_ecmp0.2,-0.4753
w264,1,0.3,vo-x-seed-x-troi,0.3978,0.3899,0.6032,0.836,0.9684,0.9684,0.9684,recovered_ecmp0.2,-0.5785
w264,1,0.6,vo-x-seed-x-troi,0.6186,0.6067,0.568,0.8242,0.9745,0.9746,0.9746,recovered_ecmp0.2,-0.3678
w264,1,1.0,vo-x-seed-x-troi,0.6588,0.5682,0.7402,0.8094,0.9834,0.9834,0.9834,recovered_ecmp0.2,-0.4152
w264,1,1.5,vo-x-seed-x-troi,0.4826,0.3883,0.861,0.7577,0.9855,0.9857,0.9857,recovered_ecmp0.2,-0.5972
w264,2,0.0,vo-x-seed-x-troi,0.7028,0.7028,0.8109,0.8468,0.9734,0.9734,0.9734,recovered_ecmp0.2,-0.2706
w264,2,0.3,vo-x-seed-x-troi,0.7044,0.6073,0.8356,0.8693,0.9792,0.9792,0.9792,recovered_ecmp0.2,-0.3719
w264,2,0.6,vo-x-seed-x-troi,0.7642,0.7904,0.8876,0.8153,0.9756,0.9756,0.9756,recovered_ecmp0.2,-0.1852
w264,2,1.0,vo-x-seed-x-troi,0.7335,0.7161,0.8545,0.8059,0.9778,0.9778,0.9778,recovered_ecmp0.2,-0.2617
w264,2,1.5,vo-x-seed-x-troi,0.6543,0.7984,0.7393,0.7979,0.9835,0.9835,0.9835,recovered_ecmp0.2,-0.1851
