shell,n_sat,inc,seed,slot,blind_ttt,ue_ttt,poa,unit_of_analysis,recovered_single,rel_single,recovered_mix,rel_mix,recovered_ecmp_0.05,rel_ecmp_0.05,recovered_ecmp_0.1,rel_ecmp_0.1,recovered_ecmp_0.2,rel_ecmp_0.2,recovered_ecmp_0.35,rel_ecmp_0.35,recovered_ecmp_0.5,rel_ecmp_0.5,machine
w264_i53,264,0.9250245035569946,0,1,2710.3885,114.24,1.006994,vo-x-seed-x-khe,0.9599,0.080556,0.9801,0.061166,0.8429,0.19264,0.9231,0.115773,0.9733,0.067746,0.9732,0.06778,0.9732,0.06778,Linux-x86_64-sol1
w264_i53,264,0.9250245035569946,0,2,1684.3014,112.684,1.007785,vo-x-seed-x-khe,0.9291,0.133093,0.9664,0.098217,0.7511,0.299164,0.8991,0.161012,0.9666,0.09804,0.967,0.0977,0.967,0.0977,Linux-x86_64-sol1
w264_i53,264,0.9250245035569946,1,1,2033.1014,115.236,1.004391,vo-x-seed-x-khe,0.9396,0.113626,0.9721,0.083044,0.8082,0.237597,0.889,0.161424,0.9618,0.092732,0.9618,0.092748,0.9618,0.092748,Linux-x86_64-sol1
w264_i53,264,0.9250245035569946,1,2,1730.0266,114.4586,1.006093,vo-x-seed-x-khe,0.9381,0.123951,0.9629,0.100783,0.7774,0.274046,0.8814,0.176922,0.9569,0.106431,0.9571,0.106243,0.9571,0.106243,Linux-x86_64-sol1
w264_i53,264,0.9250245035569946,2,1,2102.3682,109.7439,1.012035,vo-x-seed-x-khe,0.9504,0.099194,0.9781,0.07298,0.8265,0.216669,0.9182,0.129727,0.9734,0.077434,0.9734,0.077453,0.9734,0.077453,Linux-x86_64-sol1
w264_i53,264,0.9250245035569946,2,2,1919.7383,109.3073,1.010334,vo-x-seed-x-khe,0.9534,0.100846,0.9731,0.082321,0.725,0.316252,0.8857,0.164767,0.9726,0.082791,0.9727,0.082647,0.9727,0.082647,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,0,1,12514.1081,251.969,0.979519,vo-x-seed-x-khe,0.9701,0.049444,0.975,0.044629,0.7987,0.217419,0.8334,0.183342,0.9566,0.062616,0.9567,0.062565,0.9567,0.062565,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,0,2,11212.5501,253.1855,0.977992,vo-x-seed-x-khe,0.958,0.063649,0.9696,0.052319,0.7303,0.286161,0.8108,0.207528,0.962,0.05971,0.9624,0.059326,0.9624,0.059326,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,1,1,15199.9633,258.3516,0.977693,vo-x-seed-x-khe,0.9591,0.057153,0.9717,0.044864,0.7663,0.246685,0.8476,0.166832,0.9609,0.055387,0.9612,0.055131,0.9612,0.055131,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,1,2,11527.5503,266.9752,0.976304,vo-x-seed-x-khe,0.9438,0.078048,0.9474,0.074518,0.6843,0.331514,0.7249,0.291859,0.9352,0.086418,0.9358,0.085908,0.9358,0.085908,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,2,1,15534.3715,256.8991,0.974979,vo-x-seed-x-khe,0.9756,0.040544,0.9766,0.039575,0.7718,0.240976,0.8824,0.132233,0.9714,0.044635,0.9714,0.044644,0.9714,0.044644,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,2,2,11047.5788,256.9553,0.972938,vo-x-seed-x-khe,0.9241,0.097363,0.9569,0.065391,0.6989,0.3174,0.816,0.203014,0.9583,0.063959,0.9586,0.063737,0.9586,0.063737,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,0,1,3477.476,104.7241,1.038603,vo-x-seed-x-khe,0.97,0.059209,0.9638,0.065238,0.5649,0.452129,0.7422,0.280153,0.8909,0.135964,0.9466,0.081913,0.9526,0.076065,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,0,2,2355.7072,104.7815,1.03602,vo-x-seed-x-khe,0.956,0.086547,0.9363,0.105377,0.4559,0.564359,0.592,0.434341,0.8115,0.224577,0.9108,0.129708,0.9221,0.118898,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1,1,2416.9926,103.23,1.03875,vo-x-seed-x-khe,0.9565,0.08432,0.9618,0.079322,0.4917,0.529278,0.7024,0.327571,0.8859,0.151937,0.9461,0.094343,0.9502,0.090341,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1,2,2446.3119,105.9958,1.036267,vo-x-seed-x-khe,0.9636,0.078119,0.9382,0.102432,0.4648,0.555376,0.6398,0.387885,0.8386,0.197777,0.925,0.115033,0.9332,0.107263,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,2,1,2343.0916,101.6623,1.046386,vo-x-seed-x-khe,0.9695,0.072539,0.9563,0.085238,0.5247,0.498086,0.7386,0.293478,0.8999,0.139172,0.9509,0.090369,0.9566,0.084861,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,2,2,1768.9279,101.9181,1.043973,vo-x-seed-x-khe,0.954,0.10099,0.9148,0.137915,0.5078,0.521443,0.6834,0.355942,0.8515,0.197555,0.9304,0.12324,0.938,0.116084,Linux-x86_64-sol1
