shell,seed,slot,recovered_cold_T2,recovered_warm_T1,recovered_warm_T2,recovered_ecmp,recovered_ecmp_eps05,recovered_ecmp_eps20,unit_of_analysis,machine
w132,0,1,0.3241,0.9447,0.9092,0.0,0.5841,0.6598,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,0,2,0.1927,0.8495,0.8604,0.0,0.4387,0.4226,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,0,3,0.4811,0.8267,0.8555,-0.0,0.363,0.4241,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,1,1,0.772,0.8856,0.9151,0.0,0.5745,0.7095,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,1,2,0.6558,0.8715,0.9005,0.0,0.4123,0.621,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,1,3,0.4917,0.7084,0.8593,-0.0,0.4125,0.6663,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,2,1,-0.7562,0.879,0.8946,-0.0,0.6214,0.7171,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,2,2,0.5891,0.8481,0.8661,0.0,0.4744,0.6488,shell-x-seed-x-slot,Linux-x86_64-sol1
w132,2,3,-0.2756,0.5881,0.8093,-0.0,0.3367,0.5603,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,0,1,0.2899,0.761,0.5282,-0.0,0.8429,0.9733,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,0,2,-1.4461,0.5793,0.4949,0.0,0.7511,0.9666,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,0,3,-0.0801,0.6198,0.7896,0.0,0.7652,0.9681,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,1,1,-0.5252,0.8026,0.6671,-0.0,0.8082,0.9618,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,1,2,-0.7632,0.7612,0.7897,-0.0,0.7774,0.9569,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,1,3,-2.329,0.6266,0.5192,0.0,0.741,0.9518,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,2,1,0.0488,0.7766,0.7271,-0.0,0.8265,0.9734,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,2,2,0.5038,0.8095,0.6896,-0.0,0.725,0.9726,shell-x-seed-x-slot,Linux-x86_64-sol1
w264,2,3,0.4638,0.8472,0.7045,0.0,0.7564,0.9691,shell-x-seed-x-slot,Linux-x86_64-sol1
