shell,pairs,seed,blind_maxutil,ue_maxutil,gain_bpr_pct,blind_delivered_frac,ue_delivered_frac,gain_goodput_pct,unit_of_analysis,machine,load_band
starlink_mini132,100,0,0.5693,0.5693,0.0,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini132,100,1,0.6373,0.5891,0.017,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini132,100,2,0.8483,0.5747,0.184,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini132,300,0,1.9114,1.5923,6.319,0.7315,0.9014,23.222,shell-x-load-x-seed,Linux-x86_64-sol1,1to2x
starlink_mini132,300,1,2.0567,1.5637,7.95,0.6899,0.8746,26.786,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini132,300,2,2.0237,1.4896,9.892,0.6634,0.8952,34.938,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini132,600,0,3.4736,2.2638,53.615,0.3544,0.5697,60.776,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini132,600,1,3.3742,2.1671,50.631,0.369,0.6258,69.61,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini132,600,2,3.5596,2.2728,50.121,0.3765,0.6091,61.789,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini132,1000,0,6.6491,3.3624,86.513,0.2006,0.4386,118.687,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini132,1000,1,6.2307,2.9383,83.791,0.2156,0.4196,94.614,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini132,1000,2,5.8372,3.2019,86.132,0.1996,0.3795,90.126,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,0,9.2604,5.9612,89.634,0.1392,0.2329,67.343,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,1,9.4067,4.6447,93.722,0.1367,0.2322,69.816,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,2,8.9645,4.2812,94.63,0.147,0.2713,84.575,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,100,0,0.6858,0.6858,0.0,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini264,100,1,0.6406,0.6406,0.021,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini264,100,2,0.7311,0.7032,0.016,1.0,1.0,0.0,shell-x-load-x-seed,Linux-x86_64-sol1,le1x
starlink_mini264,300,0,1.7223,1.4318,5.975,0.594,0.7911,33.186,shell-x-load-x-seed,Linux-x86_64-sol1,1to2x
starlink_mini264,300,1,1.836,1.688,6.108,0.5801,0.7302,25.862,shell-x-load-x-seed,Linux-x86_64-sol1,1to2x
starlink_mini264,300,2,2.0028,1.5724,11.819,0.5615,0.8358,48.869,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini264,600,0,3.4677,2.0119,57.921,0.3837,0.4835,26.016,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini264,600,1,3.4548,2.2593,51.04,0.3991,0.4719,18.221,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini264,600,2,3.771,2.4366,53.323,0.4111,0.5266,28.11,shell-x-load-x-seed,Linux-x86_64-sol1,2to4x
starlink_mini264,1000,0,5.4746,3.1301,82.623,0.3792,0.3427,-9.603,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,1000,1,5.1747,4.2498,67.119,0.3824,0.3834,0.259,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,1000,2,5.5479,4.3179,72.627,0.3709,0.3265,-11.991,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,0,8.2376,4.9901,84.863,0.27,0.2308,-14.529,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,1,8.9327,6.2496,78.783,0.2658,0.2092,-21.29,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,2,7.9915,6.6317,70.31,0.2361,0.2358,-0.106,shell-x-load-x-seed,Linux-x86_64-sol1,gt4x
