shell,pairs,seed,blind_maxutil,unit_of_analysis,gain_product_pct,gain_bottleneck_pct,gain_maxmin_pct,machine,load_band
starlink_mini132,100,0,0.5693,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini132,100,1,0.6373,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini132,100,2,0.8483,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini132,300,0,1.9114,shell-x-load-x-seed,23.222,13.805,13.829,Linux-x86_64-sol1,1to2x
starlink_mini132,300,1,2.0567,shell-x-load-x-seed,26.786,15.565,14.143,Linux-x86_64-sol1,2to4x
starlink_mini132,300,2,2.0237,shell-x-load-x-seed,34.938,18.52,19.438,Linux-x86_64-sol1,2to4x
starlink_mini132,600,0,3.4736,shell-x-load-x-seed,60.776,42.419,42.887,Linux-x86_64-sol1,2to4x
starlink_mini132,600,1,3.3742,shell-x-load-x-seed,69.61,40.598,38.948,Linux-x86_64-sol1,2to4x
starlink_mini132,600,2,3.5596,shell-x-load-x-seed,61.789,40.324,39.262,Linux-x86_64-sol1,2to4x
starlink_mini132,1000,0,6.6491,shell-x-load-x-seed,118.687,82.698,81.598,Linux-x86_64-sol1,gt4x
starlink_mini132,1000,1,6.2307,shell-x-load-x-seed,94.614,72.703,73.988,Linux-x86_64-sol1,gt4x
starlink_mini132,1000,2,5.8372,shell-x-load-x-seed,90.126,72.563,72.304,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,0,9.2604,shell-x-load-x-seed,67.343,83.332,83.951,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,1,9.4067,shell-x-load-x-seed,69.816,90.138,89.129,Linux-x86_64-sol1,gt4x
starlink_mini132,1600,2,8.9645,shell-x-load-x-seed,84.575,92.441,90.447,Linux-x86_64-sol1,gt4x
starlink_mini264,100,0,0.6858,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini264,100,1,0.6406,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini264,100,2,0.7311,shell-x-load-x-seed,0.0,0.0,0.0,Linux-x86_64-sol1,le1x
starlink_mini264,300,0,1.7223,shell-x-load-x-seed,33.186,11.077,11.761,Linux-x86_64-sol1,1to2x
starlink_mini264,300,1,1.836,shell-x-load-x-seed,25.862,9.564,7.742,Linux-x86_64-sol1,1to2x
starlink_mini264,300,2,2.0028,shell-x-load-x-seed,48.869,16.834,17.098,Linux-x86_64-sol1,2to4x
starlink_mini264,600,0,3.4677,shell-x-load-x-seed,26.016,26.793,26.498,Linux-x86_64-sol1,2to4x
starlink_mini264,600,1,3.4548,shell-x-load-x-seed,18.221,20.603,21.723,Linux-x86_64-sol1,2to4x
starlink_mini264,600,2,3.771,shell-x-load-x-seed,28.11,26.181,26.134,Linux-x86_64-sol1,2to4x
starlink_mini264,1000,0,5.4746,shell-x-load-x-seed,-9.603,15.197,15.71,Linux-x86_64-sol1,gt4x
starlink_mini264,1000,1,5.1747,shell-x-load-x-seed,0.259,13.202,13.468,Linux-x86_64-sol1,gt4x
starlink_mini264,1000,2,5.5479,shell-x-load-x-seed,-11.991,9.681,9.953,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,0,8.2376,shell-x-load-x-seed,-14.529,6.031,6.098,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,1,8.9327,shell-x-load-x-seed,-21.29,0.932,1.477,Linux-x86_64-sol1,gt4x
starlink_mini264,1600,2,7.9915,shell-x-load-x-seed,-0.106,10.416,11.076,Linux-x86_64-sol1,gt4x
