shell,seed,slot,unit_of_analysis,iters_cold,iters_warm,ref_ttt,machine
w132,0,1,vo-x-seed-x-lat-cat,11,4,37.8689,Linux-x86_64-sol1
w132,0,2,vo-x-seed-x-lat-cat,10,7,38.7789,Linux-x86_64-sol1
w132,0,3,vo-x-seed-x-lat-cat,23,6,40.2333,Linux-x86_64-sol1
w132,1,1,vo-x-seed-x-lat-cat,26,11,37.5148,Linux-x86_64-sol1
w132,1,2,vo-x-seed-x-lat-cat,14,2,39.8472,Linux-x86_64-sol1
w132,1,3,vo-x-seed-x-lat-cat,33,7,38.477,Linux-x86_64-sol1
w132,2,1,vo-x-seed-x-lat-cat,9,1,39.704,Linux-x86_64-sol1
w132,2,2,vo-x-seed-x-lat-cat,13,1,39.8624,Linux-x86_64-sol1
w132,2,3,vo-x-seed-x-lat-cat,18,6,38.3009,Linux-x86_64-sol1
w264,0,1,vo-x-seed-x-lat-cat,11,2,578.4452,Linux-x86_64-sol1
w264,0,2,vo-x-seed-x-lat-cat,29,6,456.2497,Linux-x86_64-sol1
w264,0,3,vo-x-seed-x-lat-cat,40,5,251.326,Linux-x86_64-sol1
w264,1,1,vo-x-seed-x-lat-cat,28,3,315.1271,Linux-x86_64-sol1
w264,1,2,vo-x-seed-x-lat-cat,20,2,355.3406,Linux-x86_64-sol1
w264,1,3,vo-x-seed-x-lat-cat,22,2,394.8211,Linux-x86_64-sol1
w264,2,1,vo-x-seed-x-lat-cat,40,6,246.8345,Linux-x86_64-sol1
w264,2,2,vo-x-seed-x-lat-cat,17,2,376.9917,Linux-x86_64-sol1
w264,2,3,vo-x-seed-x-lat-cat,19,2,349.4036,Linux-x86_64-sol1
