shell,n_sat,seed,pairs,iters,blind_ttt,ue_ttt,so_ttt,poa,d_ue_pct,blind_over_ue,machine
w132_i53,132,0,600,20,86.5073,34.2614,33.3757,1.026539,,2.525,Linux-x86_64-sol1
w132_i53,132,0,600,40,86.5073,34.1582,33.0842,1.032462,0.3013,2.533,Linux-x86_64-sol1
w132_i53,132,0,600,80,86.5073,34.1003,32.9308,1.035514,0.1695,2.537,Linux-x86_64-sol1
w132_i53,132,0,600,160,86.5073,34.0725,32.8531,1.037117,0.0815,2.539,Linux-x86_64-sol1
w132_i53,132,0,600,320,86.5073,34.0588,32.8141,1.037933,0.0402,2.54,Linux-x86_64-sol1
w132_i53,132,0,600,640,86.5073,34.0527,32.7946,1.038362,0.0181,2.54,Linux-x86_64-sol1
w132_i53,132,1,600,20,85.3506,36.0498,35.126,1.026301,,2.368,Linux-x86_64-sol1
w132_i53,132,1,600,40,85.3506,35.862,34.7628,1.031621,0.5209,2.38,Linux-x86_64-sol1
w132_i53,132,1,600,80,85.3506,35.7795,34.5752,1.034833,0.23,2.385,Linux-x86_64-sol1
w132_i53,132,1,600,160,85.3506,35.7339,34.4798,1.036375,0.1274,2.389,Linux-x86_64-sol1
w132_i53,132,1,600,320,85.3506,35.7106,34.4317,1.037143,0.0653,2.39,Linux-x86_64-sol1
w132_i53,132,1,600,640,85.3506,35.699,34.4076,1.037533,0.0324,2.391,Linux-x86_64-sol1
w132_i53,132,2,600,20,83.1653,36.9368,35.8717,1.029692,,2.252,Linux-x86_64-sol1
w132_i53,132,2,600,40,83.1653,36.8022,35.506,1.036505,0.3645,2.26,Linux-x86_64-sol1
w132_i53,132,2,600,80,83.1653,36.7181,35.3141,1.039758,0.2284,2.265,Linux-x86_64-sol1
w132_i53,132,2,600,160,83.1653,36.6882,35.2166,1.041788,0.0814,2.267,Linux-x86_64-sol1
w132_i53,132,2,600,320,83.1653,36.6683,35.1673,1.04268,0.0544,2.268,Linux-x86_64-sol1
w132_i53,132,2,600,640,83.1653,36.6571,35.1427,1.043093,0.0306,2.269,Linux-x86_64-sol1
w198_i53,198,0,900,20,684.6048,77.8158,75.5946,1.029383,,8.798,Linux-x86_64-sol1
w198_i53,198,0,900,40,684.6048,77.4623,75.2244,1.02975,0.4542,8.838,Linux-x86_64-sol1
w198_i53,198,0,900,80,684.6048,77.3818,75.0408,1.031197,0.1039,8.847,Linux-x86_64-sol1
w198_i53,198,0,900,160,684.6048,77.3768,74.9416,1.032494,0.0065,8.848,Linux-x86_64-sol1
w198_i53,198,0,900,320,684.6048,77.3786,74.888,1.033258,0.0024,8.847,Linux-x86_64-sol1
