group,shell,seed,column,rel,one,differs
a,w132_i53,0,A_ue_ttt,0.0,1,0
a,w132_i53,0,A_so_ttt,2.151653497853965e-16,1,1
a,w132_i53,0,A_poa,2.1482524048997766e-16,1,1
a,w132_i53,0,A_msa_iters,0.0,1,0
a,w132_i53,1,A_ue_ttt,5.536434301370682e-09,1,1
a,w132_i53,1,A_so_ttt,6.899008655919806e-09,1,1
a,w132_i53,1,A_poa,1.362574202730873e-09,1,1
a,w132_i53,1,A_msa_iters,0.0,1,0
a,w132_i53,2,A_ue_ttt,3.3813310222236615e-10,1,1
a,w132_i53,2,A_so_ttt,1.2718408093242599e-08,1,1
a,w132_i53,2,A_poa,1.2380275150881359e-08,1,1
a,w132_i53,2,A_msa_iters,0.0,1,0
a,w264_i53,0,A_ue_ttt,0.0003184136757711659,1,1
a,w264_i53,0,A_so_ttt,0.0002816076057551749,1,1
a,w264_i53,0,A_poa,3.6816437804934444e-05,1,1
a,w264_i53,0,A_msa_iters,0.0,1,0
a,w264_i53,1,A_ue_ttt,0.0003744848247489287,1,1
a,w264_i53,1,A_so_ttt,0.0004728989744247775,1,1
a,w264_i53,1,A_poa,0.0008472067056841602,1,1
a,w264_i53,1,A_msa_iters,0.0,1,0
a,w264_i53,2,A_ue_ttt,0.00020616951421784614,1,1
a,w264_i53,2,A_so_ttt,0.00040967476022916175,1,1
a,w264_i53,2,A_poa,0.0006157598120006756,1,1
a,w264_i53,2,A_msa_iters,0.0,1,0
b,w132_i53,0,B_g_sum,0.013412982247342753,1,1
b,w132_i53,0,B_g_max,0.006280056484502913,1,1
b,w132_i53,1,B_g_sum,0.006725040196102047,1,1
b,w132_i53,1,B_g_max,0.0005307359261040425,1,1
b,w132_i53,2,B_g_sum,0.019893857042859543,1,1
b,w132_i53,2,B_g_max,0.007948399980615887,1,1
b,w264_i53,0,B_g_sum,0.040362946906621226,1,1
b,w264_i53,0,B_g_max,0.07650958695431676,1,1
b,w264_i53,1,B_g_sum,0.04385911018260786,1,1
b,w264_i53,1,B_g_max,0.07731107885719919,1,1
b,w264_i53,2,B_g_sum,0.04567870514842774,1,1
b,w264_i53,2,B_g_max,0.10259508586302474,1,1
