script,seconds,returncode,log,machine,n_cpu,parallel_jobs
p10_learned_baseline.py,419.2,0,logs/p10_learned_baseline.log,Linux-x86_64-sol1,80,78
p1_far_resolution.py,184.7,0,logs/p1_far_resolution.log,Linux-x86_64-sol1,80,78
p3_inductive.py,121.3,0,logs/p3_inductive.log,Linux-x86_64-sol1,80,78
p3b_bellman.py,256.9,0,logs/p3b_bellman.log,Linux-x86_64-sol1,80,78
p4_congestion_headroom.py,192.0,0,logs/p4_congestion_headroom.log,Linux-x86_64-sol1,80,78
p5_gnn_router.py,285.9,0,logs/p5_gnn_router.log,Linux-x86_64-sol1,80,78
p7_proactive.py,128.5,0,logs/p7_proactive.log,Linux-x86_64-sol1,80,78
p8_decoder.py,241.5,0,logs/p8_decoder.log,Linux-x86_64-sol1,80,78
p9_bound.py,120.3,0,logs/p9_bound.log,Linux-x86_64-sol1,80,78
poa_check.py,57.6,0,logs/poa_check.log,Linux-x86_64-sol1,80,78
r1_1_tau_sweep.py,184.2,0,logs/r1_1_tau_sweep.log,Linux-x86_64-sol1,80,78
r2_7_eps_sweep.py,1758.7,0,logs/r2_7_eps_sweep.log,Linux-x86_64-sol1,80,78
r2_7_fair_tuned.py,387.9,0,logs/r2_7_fair_tuned.log,Linux-x86_64-sol1,80,78
r2_7_fair_tuned_wide.py,978.0,0,logs/r2_7_fair_tuned_wide.log,Linux-x86_64-sol1,80,78
r2_7_matched_all.py,596.4,0,logs/r2_7_matched_all.log,Linux-x86_64-sol1,80,78
r2_7_proactive_vs_ecmp.py,810.6,0,logs/r2_7_proactive_vs_ecmp.log,Linux-x86_64-sol1,80,78
r2_7_train_mix.py,1762.3,0,logs/r2_7_train_mix.log,Linux-x86_64-sol1,80,78
r3_2_loss_models.py,156.6,0,logs/r3_2_loss_models.log,Linux-x86_64-sol1,80,78
r4_2_warmstart_iters.py,534.4,0,logs/r4_2_warmstart_iters.log,Linux-x86_64-sol1,80,78
r4_3_bound_constants.py,96.2,0,logs/r4_3_bound_constants.log,Linux-x86_64-sol1,80,78
r4_5_exact_ties.py,1.5,0,logs/r4_5_exact_ties.log,Linux-x86_64-sol1,80,78
r5_0_msa_convergence_pilot.py,3783.5,-15,logs/r5_0_msa_convergence_pilot.log,Linux-x86_64-sol1,80,78
r2_7_budget_matched.py,87.7,0,logs/r2_7_budget_matched.log,Linux-x86_64-sol1,80,78
r2_7_warmstart_ecmp.py,431.5,0,logs/r2_7_warmstart_ecmp.log,Linux-x86_64-sol1,80,78
r3_2_feasibility.py,143.8,0,logs/r3_2_feasibility.log,Linux-x86_64-sol1,80,78
p6_baselines.py,544.9,0,logs/p6_baselines.log,Linux-x86_64-sol1,80,78
r4_4_stage_timing.py,1692.3,0,logs/r4_4_stage_timing.log,Linux-x86_64-sol1,80,78
